,0
2431,2431
3257,3257
1317,1317
3716,3716
2474,2474
3823,3823
1208,1208
4071,4071
3694,3694
2542,2542
1239,1239
2289,2289
275,275
489,489
3990,3990
1229,1229
1008,1008
3358,3358
2640,2640
3503,3503
1058,1058
2166,2166
281,281
3566,3566
1316,1316
968,968
3899,3899
3245,3245
3375,3375
3441,3441
619,619
2683,2683
1742,1742
1390,1390
3351,3351
1847,1847
1579,1579
1655,1655
2352,2352
2212,2212
2020,2020
1956,1956
1307,1307
2003,2003
575,575
3384,3384
1706,1706
3408,3408
2877,2877
3742,3742
861,861
1801,1801
1628,1628
1993,1993
269,269
629,629
2334,2334
300,300
459,459
1447,1447
1472,1472
2046,2046
4398,4398
4195,4195
2113,2113
3729,3729
3178,3178
837,837
3168,3168
2008,2008
4454,4454
503,503
2658,2658
3495,3495
380,380
3541,3541
1525,1525
3560,3560
3221,3221
2340,2340
374,374
2704,2704
2381,2381
4345,4345
939,939
3187,3187
3491,3491
2147,2147
3161,3161
2068,2068
529,529
3321,3321
636,636
1269,1269
185,185
3162,3162
2638,2638
3247,3247
1797,1797
1441,1441
4177,4177
1535,1535
1273,1273
3399,3399
607,607
1712,1712
2199,2199
955,955
2579,2579
3225,3225
4135,4135
403,403
2071,2071
4320,4320
1977,1977
158,158
1748,1748
4378,4378
902,902
352,352
1230,1230
4244,4244
2140,2140
444,444
4488,4488
754,754
1737,1737
4518,4518
311,311
548,548
4331,4331
3660,3660
306,306
2335,2335
694,694
2356,2356
1927,1927
3887,3887
749,749
2694,2694
1266,1266
2725,2725
2926,2926
3297,3297
970,970
13,13
873,873
808,808
514,514
4042,4042
409,409
2822,2822
3792,3792
207,207
3453,3453
458,458
4408,4408
2430,2430
3032,3032
3679,3679
3103,3103
3346,3346
1883,1883
1713,1713
3853,3853
2815,2815
552,552
1439,1439
2270,2270
4342,4342
1925,1925
634,634
4364,4364
316,316
3567,3567
4271,4271
1328,1328
427,427
2796,2796
105,105
142,142
2169,2169
3615,3615
3976,3976
2241,2241
3405,3405
2163,2163
2636,2636
1949,1949
1768,1768
2272,2272
1,1
3256,3256
4497,4497
1951,1951
3548,3548
3701,3701
3588,3588
1109,1109
2974,2974
591,591
1695,1695
3830,3830
2825,2825
1576,1576
3276,3276
213,213
778,778
3614,3614
3114,3114
2043,2043
4121,4121
2908,2908
4427,4427
1567,1567
3831,3831
4286,4286
4402,4402
4469,4469
1343,1343
2013,2013
273,273
71,71
1087,1087
394,394
583,583
1367,1367
4524,4524
3383,3383
2548,2548
3410,3410
4348,4348
3308,3308
2929,2929
1763,1763
3812,3812
1259,1259
4521,4521
2253,2253
526,526
377,377
1559,1559
3163,3163
1963,1963
4302,4302
348,348
4038,4038
2246,2246
3492,3492
1709,1709
1050,1050
590,590
519,519
4074,4074
3427,3427
2477,2477
1083,1083
4279,4279
4339,4339
4098,4098
1294,1294
1809,1809
791,791
792,792
4174,4174
1980,1980
4322,4322
2804,2804
1530,1530
1410,1410
3699,3699
4008,4008
83,83
4159,4159
2350,2350
20,20
2836,2836
1562,1562
973,973
1710,1710
3295,3295
1098,1098
3487,3487
886,886
3047,3047
4162,4162
3907,3907
515,515
737,737
1453,1453
3727,3727
4272,4272
2506,2506
2126,2126
906,906
3025,3025
3975,3975
2507,2507
2428,2428
947,947
3151,3151
3407,3407
715,715
4198,4198
686,686
703,703
2353,2353
2257,2257
4184,4184
21,21
2752,2752
885,885
3858,3858
917,917
3112,3112
3107,3107
2239,2239
4329,4329
1265,1265
483,483
3786,3786
1219,1219
277,277
988,988
2084,2084
1245,1245
2382,2382
571,571
1435,1435
993,993
2860,2860
2856,2856
585,585
3422,3422
2514,2514
1349,1349
1007,1007
674,674
2412,2412
447,447
2879,2879
4321,4321
2064,2064
4003,4003
3155,3155
1690,1690
1548,1548
1247,1247
1985,1985
294,294
1547,1547
2012,2012
588,588
2403,2403
2129,2129
3875,3875
3714,3714
4021,4021
425,425
2582,2582
1054,1054
3282,3282
4145,4145
556,556
3821,3821
3260,3260
4284,4284
3519,3519
4371,4371
3649,3649
1193,1193
1716,1716
2604,2604
3433,3433
2828,2828
1704,1704
2863,2863
2618,2618
2400,2400
2139,2139
2383,2383
3102,3102
1285,1285
3142,3142
3179,3179
4037,4037
2087,2087
1889,1889
1591,1591
1346,1346
4147,4147
2162,2162
2396,2396
3021,3021
2271,2271
4206,4206
1137,1137
3223,3223
972,972
795,795
1711,1711
36,36
453,453
913,913
3378,3378
1199,1199
1274,1274
2375,2375
37,37
974,974
983,983
4351,4351
1418,1418
1560,1560
39,39
1486,1486
3214,3214
169,169
1355,1355
3885,3885
3011,3011
4314,4314
3312,3312
2682,2682
3994,3994
1640,1640
1290,1290
1380,1380
1933,1933
579,579
3570,3570
2030,2030
892,892
780,780
159,159
2,2
3464,3464
2109,2109
849,849
2737,2737
2466,2466
3027,3027
1596,1596
1776,1776
1913,1913
1043,1043
1544,1544
2736,2736
3071,3071
53,53
1796,1796
1911,1911
3586,3586
2553,2553
2800,2800
3382,3382
3431,3431
824,824
4303,4303
1389,1389
884,884
3150,3150
1607,1607
1594,1594
771,771
2611,2611
2273,2273
1868,1868
1085,1085
4293,4293
1325,1325
1463,1463
806,806
3901,3901
4232,4232
2108,2108
3592,3592
4496,4496
2234,2234
963,963
3109,3109
398,398
2632,2632
4406,4406
2996,2996
704,704
431,431
292,292
4419,4419
145,145
3726,3726
2033,2033
3555,3555
1165,1165
2050,2050
2624,2624
4269,4269
339,339
3043,3043
2973,2973
265,265
2424,2424
3927,3927
1771,1771
271,271
696,696
747,747
244,244
317,317
476,476
2032,2032
957,957
3160,3160
813,813
1914,1914
4182,4182
1297,1297
1804,1804
3642,3642
250,250
2461,2461
545,545
738,738
310,310
2941,2941
1131,1131
1449,1449
4464,4464
15,15
2769,2769
920,920
3029,3029
3695,3695
2544,2544
4055,4055
363,363
4370,4370
182,182
3033,3033
2983,2983
1194,1194
2852,2852
3119,3119
1121,1121
2235,2235
2667,2667
3065,3065
1182,1182
3698,3698
614,614
1466,1466
401,401
3042,3042
934,934
2419,2419
3333,3333
2641,2641
3950,3950
726,726
826,826
1521,1521
4312,4312
3947,3947
136,136
628,628
334,334
390,390
3873,3873
3172,3172
1817,1817
400,400
710,710
1039,1039
4096,4096
46,46
1561,1561
4358,4358
4399,4399
1112,1112
2513,2513
1223,1223
3360,3360
3023,3023
2421,2421
1508,1508
1750,1750
3389,3389
1799,1799
338,338
215,215
1341,1341
11,11
1520,1520
3259,3259
3128,3128
3004,3004
2864,2864
3401,3401
2322,2322
2571,2571
2913,2913
101,101
3612,3612
171,171
107,107
3543,3543
4528,4528
3700,3700
3534,3534
4054,4054
3425,3425
3370,3370
3780,3780
3921,3921
4213,4213
1040,1040
3524,3524
2760,2760
2120,2120
1524,1524
153,153
2248,2248
481,481
3587,3587
3725,3725
3429,3429
1762,1762
750,750
1785,1785
3846,3846
4310,4310
405,405
757,757
2711,2711
2670,2670
3296,3296
97,97
1333,1333
4009,4009
2791,2791
2854,2854
186,186
3311,3311
3977,3977
2058,2058
3549,3549
148,148
28,28
3449,3449
3317,3317
692,692
2866,2866
1386,1386
1845,1845
4301,4301
3455,3455
1599,1599
3779,3779
701,701
3028,3028
2969,2969
1708,1708
2953,2953
454,454
2868,2868
2040,2040
3528,3528
2315,2315
609,609
167,167
730,730
3626,3626
2074,2074
4207,4207
1622,1622
587,587
1401,1401
3045,3045
1700,1700
3088,3088
3677,3677
2981,2981
3968,3968
1379,1379
2089,2089
2175,2175
3770,3770
3629,3629
3235,3235
2657,2657
3180,3180
4084,4084
441,441
3352,3352
2051,2051
2541,2541
1301,1301
1781,1781
1304,1304
236,236
2599,2599
520,520
2573,2573
3186,3186
2768,2768
735,735
4275,4275
2106,2106
2679,2679
2761,2761
592,592
1303,1303
1387,1387
4267,4267
3269,3269
3739,3739
2987,2987
4467,4467
904,904
4188,4188
1279,1279
4027,4027
4448,4448
2308,2308
4007,4007
4118,4118
3934,3934
3992,3992
706,706
4262,4262
3070,3070
745,745
1939,1939
3906,3906
2862,2862
3305,3305
513,513
81,81
4515,4515
1308,1308
4252,4252
914,914
4363,4363
3893,3893
2198,2198
774,774
329,329
2054,2054
2001,2001
943,943
822,822
4114,4114
909,909
2516,2516
181,181
164,164
1523,1523
451,451
2538,2538
3402,3402
4337,4337
1311,1311
3892,3892
1111,1111
4130,4130
1287,1287
4384,4384
3778,3778
3501,3501
4139,4139
3125,3125
327,327
1790,1790
2490,2490
2006,2006
2007,2007
1858,1858
4258,4258
312,312
832,832
3079,3079
1201,1201
3880,3880
3303,3303
2134,2134
2209,2209
4504,4504
1481,1481
777,777
799,799
54,54
2972,2972
1920,1920
4222,4222
3620,3620
1701,1701
3293,3293
2161,2161
1136,1136
987,987
3964,3964
3617,3617
3057,3057
3246,3246
1394,1394
2637,2637
768,768
4274,4274
3090,3090
3215,3215
285,285
4478,4478
428,428
2332,2332
2717,2717
2079,2079
722,722
951,951
3836,3836
2262,2262
989,989
3212,3212
1759,1759
3403,3403
326,326
2608,2608
1383,1383
1724,1724
1086,1086
4197,4197
341,341
147,147
3918,3918
1107,1107
848,848
966,966
4299,4299
1492,1492
2203,2203
3724,3724
661,661
1002,1002
3922,3922
284,284
3926,3926
4278,4278
1879,1879
4409,4409
1203,1203
1990,1990
24,24
4407,4407
4072,4072
3499,3499
3860,3860
875,875
4311,4311
938,938
2687,2687
2394,2394
4150,4150
4519,4519
3428,3428
385,385
3849,3849
4152,4152
3692,3692
2291,2291
3516,3516
936,936
4381,4381
2360,2360
201,201
3208,3208
1332,1332
3016,3016
2708,2708
1934,1934
935,935
2418,2418
566,566
1854,1854
4039,4039
2872,2872
3030,3030
4352,4352
2467,2467
1645,1645
3571,3571
2861,2861
1792,1792
1430,1430
2826,2826
3368,3368
3367,3367
3100,3100
3888,3888
1013,1013
1928,1928
3774,3774
3056,3056
3824,3824
126,126
3523,3523
2935,2935
3204,3204
1347,1347
3055,3055
355,355
4231,4231
2730,2730
827,827
1639,1639
3040,3040
984,984
3281,3281
4510,4510
2188,2188
4434,4434
2443,2443
362,362
2349,2349
345,345
3467,3467
4187,4187
711,711
3205,3205
3999,3999
4354,4354
4005,4005
3325,3325
10,10
4046,4046
2116,2116
4304,4304
1834,1834
793,793
3363,3363
4486,4486
2802,2802
2674,2674
94,94
129,129
2891,2891
2371,2371
3755,3755
4481,4481
3332,3332
3228,3228
4463,4463
2995,2995
2263,2263
1900,1900
3680,3680
4018,4018
3230,3230
1932,1932
4048,4048
3606,3606
2912,2912
1865,1865
1658,1658
516,516
1857,1857
2645,2645
2243,2243
1277,1277
2336,2336
950,950
3482,3482
3900,3900
3068,3068
1120,1120
2597,2597
2204,2204
419,419
922,922
3697,3697
477,477
2035,2035
3658,3658
1692,1692
3717,3717
3706,3706
1471,1471
2601,2601
1202,1202
2438,2438
2626,2626
1669,1669
4377,4377
1970,1970
3110,3110
2151,2151
820,820
1997,1997
4441,4441
3054,3054
1248,1248
3691,3691
2712,2712
992,992
2190,2190
4239,4239
1046,1046
1888,1888
2469,2469
2847,2847
615,615
1318,1318
1863,1863
2343,2343
2449,2449
2136,2136
1065,1065
1772,1772
4500,4500
131,131
3619,3619
3481,3481
77,77
3450,3450
2898,2898
2052,2052
4083,4083
724,724
1314,1314
3839,3839
1851,1851
2317,2317
3852,3852
872,872
1372,1372
1855,1855
2965,2965
3666,3666
1319,1319
2560,2560
4445,4445
2635,2635
4347,4347
3530,3530
375,375
1908,1908
333,333
3781,3781
3864,3864
2365,2365
1604,1604
1118,1118
3490,3490
4416,4416
1943,1943
2958,2958
3796,3796
4495,4495
3814,3814
2376,2376
4396,4396
1342,1342
320,320
1619,1619
4092,4092
2060,2060
2945,2945
2219,2219
1673,1673
1942,1942
260,260
3941,3941
2039,2039
689,689
901,901
2306,2306
2026,2026
2892,2892
4375,4375
138,138
1917,1917
1828,1828
1573,1573
319,319
653,653
2137,2137
3889,3889
558,558
2187,2187
112,112
531,531
224,224
723,723
4064,4064
2883,2883
1141,1141
1433,1433
2373,2373
3905,3905
3371,3371
4020,4020
1458,1458
3097,3097
1415,1415
2762,2762
846,846
193,193
1464,1464
2621,2621
946,946
2021,2021
2551,2551
1629,1629
2928,2928
117,117
645,645
1870,1870
3,3
74,74
